ID,Code_Snippet,Vulnerability,label
1,<script>document.write(location.hash.slice(1));</script>,DOM-based XSS,1
2,"<div id=""output""></div><script>document.getElementById('output').innerHTML = location.search;</script>",DOM-based XSS,1
3,<script>eval(location.hash.slice(1));</script>,DOM-based XSS,1
4,<script>var userInput = location.search; document.write(userInput);</script>,DOM-based XSS,1
5,<script>document.getElementById('output').innerHTML = decodeURIComponent(location.hash.substring(1));</script>,DOM-based XSS,1
6,"<div id=""result""></div><script>document.getElementById('result').innerHTML = 'Data: ' + location.hash;</script>",DOM-based XSS,1
7,"<p id=""demo""></p><script>document.getElementById(""demo"").textContent = location.hash.slice(1);</script>",None,0
8,"<div id=""display""></div><script>document.getElementById('display').innerText = 'Hello, World!';</script>",None,0
9,"<div id=""content""></div><script>document.getElementById('content').textContent = 'Safe Content';</script>",None,0
10,<div><script>alert('This is safe');</script></div>,None,0
11,<script>location.hash = '#<img src=x onerror=alert(1)>';</script>,DOM-based XSS,1
12,"<input onfocus=""this.value=location.search"" />",DOM-based XSS,1
13,<script>const query = new URLSearchParams(location.search); document.body.innerHTML = query.get('input');</script>,DOM-based XSS,1
14,"<div id=""safe""></div><script>document.getElementById('safe').textContent = location.pathname;</script>",None,0
15,"<img src=""default.jpg"" onload=""this.src=location.hash.slice(1)"" />",DOM-based XSS,1
16,"<p id=""info""></p><script>document.getElementById('info').innerText = 'Info: ' + location.search;</script>",None,0
17,<script>var frag = document.createRange().createContextualFragment(location.hash.slice(1)); document.body.appendChild(frag);</script>,DOM-based XSS,1
18,"<a href=""javascript:alert(location.hash.slice(1))"">Click me</a>",DOM-based XSS,1
19,"<textarea id=""comments""></textarea><script>document.getElementById('comments').textContent = 'No comments';</script>",None,0
20,"<div id=""user""></div><script>document.getElementById('user').innerHTML = decodeURIComponent(location.search);</script>",DOM-based XSS,1
